district,name,number
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22769
Ciutat Vella,el Barri Gòtic,16267
Ciutat Vella,el Raval,48800
Ciutat Vella,la Barceloneta,15503
Eixample,Sant Antoni,38260
Eixample,el Fort Pienc,31738
Eixample,l'Antiga Esquerra de l'Eixample,41773
Eixample,la Dreta de l'Eixample,43384
Eixample,la Nova Esquerra de l'Eixample,57819
Eixample,la Sagrada Família,51806
Gràcia,Vallcarca i els Penitents,15453
Gràcia,el Camp d'en Grassot i Gràcia Nova,34439
Gràcia,el Coll,7232
Gràcia,la Salut,13210
Gràcia,la Vila de Gràcia,50615
Horta-Guinardó,Can Baró,8969
Horta-Guinardó,Horta,26543
Horta-Guinardó,Montbau,5111
Horta-Guinardó,Sant Genís dels Agudells,6935
Horta-Guinardó,el Baix Guinardó,25641
Horta-Guinardó,el Carmel,31789
Horta-Guinardó,el Guinardó,35679
Horta-Guinardó,la Clota,438
Horta-Guinardó,la Font d'en Fargues,9490
Horta-Guinardó,la Teixonera,11654
Horta-Guinardó,la Vall d'Hebron,5494
Les Corts,Pedralbes,11790
Les Corts,la Maternitat i Sant Ramon,23667
Les Corts,les Corts,46183
Nou Barris,Can Peguera,2230
Nou Barris,Canyelles,7102
Nou Barris,Ciutat Meridiana,10485
Nou Barris,Porta,24193
Nou Barris,Torre Baró,2192
Nou Barris,Vallbona,1346
Nou Barris,Verdun,12329
Nou Barris,Vilapicina i la Torre Llobeta,25543
Nou Barris,el Turó de la Peira,15593
Nou Barris,la Guineueta,15117
Nou Barris,la Prosperitat,26299
Nou Barris,la Trinitat Nova,7551
Nou Barris,les Roquetes,15768
Sant Andreu,Baró de Viver,2415
Sant Andreu,Navas,21811
Sant Andreu,Sant Andreu,56476
Sant Andreu,el Bon Pastor,12800
Sant Andreu,el Congrés i els Indians,14010
Sant Andreu,la Sagrera,28911
Sant Andreu,la Trinitat Vella,10423
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,12894
Sant Martí,Provençals del Poblenou,20052
Sant Martí,Sant Martí de Provençals,25994
Sant Martí,el Besòs i el Maresme,23118
Sant Martí,el Camp de l'Arpa del Clot,37933
Sant Martí,el Clot,27169
Sant Martí,el Parc i la Llacuna del Poblenou,14355
Sant Martí,el Poblenou,32838
Sant Martí,la Verneda i la Pau,29154
Sant Martí,la Vila Olímpica del Poblenou,9319
Sants-Montjuïc,Hostafrancs,15960
Sants-Montjuïc,Sants,41057
Sants-Montjuïc,Sants - Badal,24351
Sants-Montjuïc,el Poble Sec,40984
Sants-Montjuïc,la Bordeta,18577
Sants-Montjuïc,la Font de la Guatlla,10313
Sants-Montjuïc,la Marina de Port,30271
Sants-Montjuïc,la Marina del Prat Vermell,1172
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,46486
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,24607
Sarrià-Sant Gervasi,Sarrià,24450
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4437
Sarrià-Sant Gervasi,el Putxet i el Farró,29302
Sarrià-Sant Gervasi,les Tres Torres,15984
