district,name,number
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22457
Ciutat Vella,el Barri Gòtic,15484
Ciutat Vella,el Raval,47142
Ciutat Vella,la Barceloneta,15032
Eixample,Sant Antoni,38033
Eixample,el Fort Pienc,31543
Eixample,l'Antiga Esquerra de l'Eixample,41664
Eixample,la Dreta de l'Eixample,43556
Eixample,la Nova Esquerra de l'Eixample,57665
Eixample,la Sagrada Família,51097
Gràcia,Vallcarca i els Penitents,15492
Gràcia,el Camp d'en Grassot i Gràcia Nova,33918
Gràcia,el Coll,7349
Gràcia,la Salut,13227
Gràcia,la Vila de Gràcia,50415
Horta-Guinardó,Can Baró,8819
Horta-Guinardó,Horta,26467
Horta-Guinardó,Montbau,5046
Horta-Guinardó,Sant Genís dels Agudells,6754
Horta-Guinardó,el Baix Guinardó,25466
Horta-Guinardó,el Carmel,31456
Horta-Guinardó,el Guinardó,35773
Horta-Guinardó,la Clota,542
Horta-Guinardó,la Font d'en Fargues,9407
Horta-Guinardó,la Teixonera,11361
Horta-Guinardó,la Vall d'Hebron,5468
Les Corts,Pedralbes,11713
Les Corts,la Maternitat i Sant Ramon,23817
Les Corts,les Corts,46000
Nou Barris,Can Peguera,2275
Nou Barris,Canyelles,6953
Nou Barris,Ciutat Meridiana,10245
Nou Barris,Porta,24240
Nou Barris,Torre Baró,2727
Nou Barris,Vallbona,1335
Nou Barris,Verdun,12225
Nou Barris,Vilapicina i la Torre Llobeta,25451
Nou Barris,el Turó de la Peira,15389
Nou Barris,la Guineueta,15099
Nou Barris,la Prosperitat,25979
Nou Barris,la Trinitat Nova,7332
Nou Barris,les Roquetes,15398
Sant Andreu,Baró de Viver,2482
Sant Andreu,Navas,21966
Sant Andreu,Sant Andreu,56503
Sant Andreu,el Bon Pastor,12554
Sant Andreu,el Congrés i els Indians,14043
Sant Andreu,la Sagrera,28887
Sant Andreu,la Trinitat Vella,10059
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13369
Sant Martí,Provençals del Poblenou,20161
Sant Martí,Sant Martí de Provençals,25975
Sant Martí,el Besòs i el Maresme,22834
Sant Martí,el Camp de l'Arpa del Clot,38178
Sant Martí,el Clot,26933
Sant Martí,el Parc i la Llacuna del Poblenou,14708
Sant Martí,el Poblenou,33437
Sant Martí,la Verneda i la Pau,28738
Sant Martí,la Vila Olímpica del Poblenou,9326
Sants-Montjuïc,Hostafrancs,15747
Sants-Montjuïc,Sants,40687
Sants-Montjuïc,Sants - Badal,24014
Sants-Montjuïc,el Poble Sec,40208
Sants-Montjuïc,la Bordeta,18378
Sants-Montjuïc,la Font de la Guatlla,10366
Sants-Montjuïc,la Marina de Port,30232
Sants-Montjuïc,la Marina del Prat Vermell,1125
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,46708
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25246
Sarrià-Sant Gervasi,Sarrià,24641
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4602
Sarrià-Sant Gervasi,el Putxet i el Farró,29139
Sarrià-Sant Gervasi,les Tres Torres,16498
