district,name,number
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22721
Ciutat Vella,el Barri Gòtic,16062
Ciutat Vella,el Raval,47608
Ciutat Vella,la Barceloneta,14996
Eixample,Sant Antoni,38345
Eixample,el Fort Pienc,32016
Eixample,l'Antiga Esquerra de l'Eixample,42284
Eixample,la Dreta de l'Eixample,44052
Eixample,la Nova Esquerra de l'Eixample,58180
Eixample,la Sagrada Família,51539
Gràcia,Vallcarca i els Penitents,15759
Gràcia,el Camp d'en Grassot i Gràcia Nova,34329
Gràcia,el Coll,7412
Gràcia,la Salut,13185
Gràcia,la Vila de Gràcia,50662
Horta-Guinardó,Can Baró,8994
Horta-Guinardó,Horta,26715
Horta-Guinardó,Montbau,5102
Horta-Guinardó,Sant Genís dels Agudells,6854
Horta-Guinardó,el Baix Guinardó,25672
Horta-Guinardó,el Carmel,31551
Horta-Guinardó,el Guinardó,36467
Horta-Guinardó,la Clota,610
Horta-Guinardó,la Font d'en Fargues,9383
Horta-Guinardó,la Teixonera,11619
Horta-Guinardó,la Vall d'Hebron,5784
Les Corts,Pedralbes,12076
Les Corts,la Maternitat i Sant Ramon,23948
Les Corts,les Corts,46009
Nou Barris,Can Peguera,2271
Nou Barris,Canyelles,6856
Nou Barris,Ciutat Meridiana,10342
Nou Barris,Porta,25000
Nou Barris,Torre Baró,2856
Nou Barris,Vallbona,1372
Nou Barris,Verdun,12353
Nou Barris,Vilapicina i la Torre Llobeta,25591
Nou Barris,el Turó de la Peira,15467
Nou Barris,la Guineueta,15231
Nou Barris,la Prosperitat,26389
Nou Barris,la Trinitat Nova,7261
Nou Barris,les Roquetes,15590
Sant Andreu,Baró de Viver,2539
Sant Andreu,Navas,22129
Sant Andreu,Sant Andreu,57183
Sant Andreu,el Bon Pastor,12560
Sant Andreu,el Congrés i els Indians,14116
Sant Andreu,la Sagrera,29084
Sant Andreu,la Trinitat Vella,9983
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13629
Sant Martí,Provençals del Poblenou,20487
Sant Martí,Sant Martí de Provençals,26146
Sant Martí,el Besòs i el Maresme,23009
Sant Martí,el Camp de l'Arpa del Clot,38168
Sant Martí,el Clot,27039
Sant Martí,el Parc i la Llacuna del Poblenou,15134
Sant Martí,el Poblenou,33843
Sant Martí,la Verneda i la Pau,28691
Sant Martí,la Vila Olímpica del Poblenou,9367
Sants-Montjuïc,Hostafrancs,15904
Sants-Montjuïc,Sants,41127
Sants-Montjuïc,Sants - Badal,23987
Sants-Montjuïc,el Poble Sec,40228
Sants-Montjuïc,la Bordeta,18530
Sants-Montjuïc,la Font de la Guatlla,10401
Sants-Montjuïc,la Marina de Port,30584
Sants-Montjuïc,la Marina del Prat Vermell,1149
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,47666
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25774
Sarrià-Sant Gervasi,Sarrià,25032
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4670
Sarrià-Sant Gervasi,el Putxet i el Farró,29470
Sarrià-Sant Gervasi,les Tres Torres,16667
