"from","to","weight"
"Barcelona","Abroad",5485
"Barcelona","Andalusia",1596
"Barcelona","Aragon",745
"Barcelona","Asturias",204
"Barcelona","Balearic Islands",1428
"Barcelona","Basque Country",475
"Barcelona","Canary Islands",789
"Barcelona","Cantabria",132
"Barcelona","Castile and León",517
"Barcelona","Castilla-La Mancha",347
"Barcelona","Catalonia",35036
"Barcelona","Ceuta",12
"Barcelona","Community of Madrid",2647
"Barcelona","Extremadura",201
"Barcelona","Galicia",795
"Barcelona","La Rioja",72
"Barcelona","Melilla",27
"Barcelona","Navarre",186
"Barcelona","Region of Murcia",243
"Barcelona","Valencian Community",1711
