District Name,Morning,Afternoon,Night
Ciutat Vella,211,292,97
Eixample,1194,1478,357
Gràcia,199,267,65
Horta-Guinardó,306,352,85
Les Corts,284,378,64
Nou Barris,200,280,62
Sant Andreu,227,308,62
Sant Martí,558,632,146
Sants-Montjuïc,464,509,131
Sarrià-Sant Gervasi,411,574,119
