longitude,latitude,type,name
2.11937,41.399203,Underground,FGC (L6) - REINA ELISENDA (Sortida Duquesa d'Orleans)-
2.135427,41.397791,Underground,FGC (L6) - LA BONANOVA-
2.185391,41.451492,Underground,METRO (L11) - CASA DE L'AIGUA (C. Vila-Real)-
2.174473,41.460889,Underground,METRO (L11) - CIUTAT MERIDIANA (C. Pedraforca)-
2.168588,41.3872,Underground,METRO (L1) - CATALUNYA (Rda. Universitat)-
2.168507,41.387706,Underground,METRO (L1) - CATALUNYA (Rambla de Catalunya)-
2.118998,41.398967,Underground,FGC (L6) - REINA ELISENDA-
2.0839939999999997,41.362753000000005,Underground,METRO (L5) - SANT ILDEFONS-
2.1429869999999998,41.424923,Underground,"METRO (L3, L5) - VALL D'HEBRON (C. de les Basses d'Horta)-"
2.1583259999999997,41.392331,Railway (FGC),FGC - PROVENÇA (C. de Provença)-
2.100302,41.362977,Underground,METRO (L1) - RAMBLA JUST OLIVERAS-
2.179581,41.40018,Underground,METRO (L2) - MONUMENTAL (C. de la Marina)-
2.153966,41.37907,Underground,METRO (L1) - ROCAFORT (C. de Rocafort)-
2.168735,41.389295000000004,Underground,METRO (L2) - PASSEIG DE GRÀCIA (Pg. de Gràcia)-
2.161228,41.430042,Underground,METRO (L5) - HORTA (Pl. d'Eivissa)-
2.098896,41.376486,Tram,"TRAMVIA (T1,T2,T3) - CA N'OLIVERES-"
2.1331900000000004,41.373293,Underground,METRO (L1) - MERCAT NOU (C. d'Antoni de Capmany)-
2.1454779999999998,41.378565,Underground,METRO (L3) - TARRAGONA-
2.147798,41.434855,Underground,METRO (L3) - MUNDET (Can Marcet)-
2.148557,41.435325,Underground,METRO (L3) - MUNDET (Can Marcet)-
2.215909,41.41174,Underground,METRO (L4) - EL MARESME-FÒRUM (C. del Maresme)-
2.163252,41.385015,Underground,METRO (L2) - UNIVERSITAT-
2.197653,41.411242,Tram,"TRAMVIA (T5, T6) - ESPRONCEDA-"
2.115012,41.38048,Tram,"TRAMVIA (T1,T2,T3) - AVINGUDA DE XILE-"
2.106023,41.376071,Tram,"TRAMVIA (T1,T2,T3) - CAN RIGAL-"
2.222916,41.430456,Tram,TRAMVIA (T5) - ENCANTS DE SANT ADRIÀ-
2.2198290000000003,41.411777,Tram,TRAMVIA (T4) - FÒRUM-
2.230412,41.423854,Tram,"TRAMVIA (T4, T6) - ESTACIÓ DE SANT ADRIÀ-"
2.062227,41.360383,Tram,"TRAMVIA (T1,T2) - FONTSANTA-FATJÓ-"
2.182868,41.370929,Maritime station,Estació Marítima INTERNACIONAL-
2.125369,41.357005,Underground,FGC (L8) - EUROPA / FIRA-
2.178826,41.444145,Underground,METRO (L4) - VIA JÚLIA (Via Júlia - Joaquim Valls)-
