district,name,number
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22306
Ciutat Vella,el Barri Gòtic,15614
Ciutat Vella,el Raval,47129
Ciutat Vella,la Barceloneta,15021
Eixample,Sant Antoni,38184
Eixample,el Fort Pienc,31653
Eixample,l'Antiga Esquerra de l'Eixample,41854
Eixample,la Dreta de l'Eixample,43644
Eixample,la Nova Esquerra de l'Eixample,57648
Eixample,la Sagrada Família,51322
Gràcia,Vallcarca i els Penitents,15591
Gràcia,el Camp d'en Grassot i Gràcia Nova,34234
Gràcia,el Coll,7391
Gràcia,la Salut,13118
Gràcia,la Vila de Gràcia,50584
Horta-Guinardó,Can Baró,8965
Horta-Guinardó,Horta,26541
Horta-Guinardó,Montbau,5053
Horta-Guinardó,Sant Genís dels Agudells,6725
Horta-Guinardó,el Baix Guinardó,25547
Horta-Guinardó,el Carmel,31355
Horta-Guinardó,el Guinardó,36136
Horta-Guinardó,la Clota,583
Horta-Guinardó,la Font d'en Fargues,9400
Horta-Guinardó,la Teixonera,11277
Horta-Guinardó,la Vall d'Hebron,5686
Les Corts,Pedralbes,11862
Les Corts,la Maternitat i Sant Ramon,23848
Les Corts,les Corts,45932
Nou Barris,Can Peguera,2258
Nou Barris,Canyelles,6923
Nou Barris,Ciutat Meridiana,10041
Nou Barris,Porta,24519
Nou Barris,Torre Baró,2791
Nou Barris,Vallbona,1352
Nou Barris,Verdun,12260
Nou Barris,Vilapicina i la Torre Llobeta,25508
Nou Barris,el Turó de la Peira,15364
Nou Barris,la Guineueta,15043
Nou Barris,la Prosperitat,26167
Nou Barris,la Trinitat Nova,7257
Nou Barris,les Roquetes,15398
Sant Andreu,Baró de Viver,2507
Sant Andreu,Navas,22080
Sant Andreu,Sant Andreu,56683
Sant Andreu,el Bon Pastor,12589
Sant Andreu,el Congrés i els Indians,14044
Sant Andreu,la Sagrera,28796
Sant Andreu,la Trinitat Vella,10032
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13397
Sant Martí,Provençals del Poblenou,20369
Sant Martí,Sant Martí de Provençals,26010
Sant Martí,el Besòs i el Maresme,22746
Sant Martí,el Camp de l'Arpa del Clot,38104
Sant Martí,el Clot,26898
Sant Martí,el Parc i la Llacuna del Poblenou,14838
Sant Martí,el Poblenou,33586
Sant Martí,la Verneda i la Pau,28645
Sant Martí,la Vila Olímpica del Poblenou,9335
Sants-Montjuïc,Hostafrancs,15889
Sants-Montjuïc,Sants,40785
Sants-Montjuïc,Sants - Badal,23906
Sants-Montjuïc,el Poble Sec,40055
Sants-Montjuïc,la Bordeta,18512
Sants-Montjuïc,la Font de la Guatlla,10302
Sants-Montjuïc,la Marina de Port,30385
Sants-Montjuïc,la Marina del Prat Vermell,1143
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,47089
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25665
Sarrià-Sant Gervasi,Sarrià,24799
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4632
Sarrià-Sant Gervasi,el Putxet i el Farró,29368
Sarrià-Sant Gervasi,les Tres Torres,16473
